Screenshot,image,Film,Scene #,Timestamp,Seconds,,,,
HARD-01616,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01616/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011296296,976,,,,
HARD-01618,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01618/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011319444,978,,,,
HARD-01620,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01620/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011342593,980,,,,
HARD-01638,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01638/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011550926,998,,,,
HARD-01645,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01645/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011631944,1005,,,,
HARD-01705,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01705/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011863426,1025,,,,
HARD-01706,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01706/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011875,1026,,,,
HARD-01709,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01709/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.011909722,1029,,,,
HARD-01717,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01717/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012002315,1037,,,,
HARD-01723,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01723/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012071759,1043,,,,
HARD-01740,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01740/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012268519,1060,,,,
HARD-01758,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01758/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012476852,1078,,,,
HARD-01814,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01814/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012662037,1094,,,,
HARD-01824,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01824/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.012777778,1104,,,,
HARD-01902,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01902/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.013217593,1142,,,,
HARD-01915,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-01915/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.013368056,1155,,,,
HARD-02008,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02008/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.013981481,1208,,,,
HARD-02014,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02014/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.014050926,1214,,,,
HARD-02052,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02052/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.014490741,1252,,,,
HARD-02104,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02104/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.01462963,1264,,,,
HARD-02106,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02106/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.014652778,1266,,,,
HARD-02127,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02127/tiles/full/300,169/0/default.jpg",Hard Eight (1996),2,0.014895833,1287,,,,
HARD-02133,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02133/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.014965278,1293,,,,
HARD-02137,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02137/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015011574,1297,,,,
HARD-02150,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02150/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015162037,1310,,,,
HARD-02214,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02214/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015439815,1334,,,,
HARD-02220,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02220/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015509259,1340,,,,
HARD-02223,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02223/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015543981,1343,,,,
HARD-02235,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02235/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.01568287,1355,,,,
HARD-02238,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02238/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.015717593,1358,,,,
HARD-02308,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02308/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.016064815,1388,,,,
HARD-02315,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02315/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.016145833,1395,,,,
HARD-02322,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02322/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.016226852,1402,,,,
HARD-02401,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02401/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.016678241,1441,,,,
HARD-02409,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02409/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.016770833,1449,,,,
HARD-02411,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02411/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.016793981,1451,,,,
HARD-02425,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02425/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.016956019,1465,,,,
HARD-02429,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02429/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.017002315,1469,,,,
HARD-02437,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02437/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.017094907,1477,,,,
HARD-02440,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02440/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.01712963,1480,,,,
HARD-02459,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02459/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.017349537,1499,,,,
HARD-02500,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02500/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.017361111,1500,,,,
HARD-02506,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02506/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.017430556,1506,,,,
HARD-02539,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02539/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.0178125,1539,,,,
HARD-02558,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02558/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.018032407,1558,,,,
HARD-02617,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02617/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.018252315,1577,,,,
HARD-02638,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02638/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.01849537,1598,,,,
HARD-02641,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02641/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.018530093,1601,,,,
HARD-02708,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02708/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.018842593,1628,,,,
HARD-02717,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02717/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.018946759,1637,,,,
HARD-02826,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02826/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.01974537,1706,,,,
HARD-02840,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02840/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.019907407,1720,,,,
HARD-02845,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02845/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.019965278,1725,,,,
HARD-02851,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02851/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.020034722,1731,,,,
HARD-02913,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02913/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.020289352,1753,,,,
HARD-02941,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-02941/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.020613426,1781,,,,
HARD-03006,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03006/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.020902778,1806,,,,
HARD-03021,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03021/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.021076389,1821,,,,
HARD-03032,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03032/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.021203704,1832,,,,
HARD-03046,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03046/tiles/full/300,169/0/default.jpg",Hard Eight (1996),3,0.021365741,1846,,,,
HARD-03048,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03048/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.021388889,1848,,,,
HARD-03101,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03101/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.021539352,1861,,,,
HARD-03105,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03105/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.021585648,1865,,,,
HARD-03111,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03111/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.021655093,1871,,,,
HARD-03117,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03117/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.021724537,1877,,,,
HARD-03133,"https://digitalscholarship.brynmawr.edu/pta/hard/hard-03133/tiles/full/300,169/0/default.jpg",Hard Eight (1996),4,0.021909722,1893,,,,
